ST,STATE,ST_ABBR,STCNTY,COUNTY,FIPS,LOCATION,AREA_SQMI,E_TOTPOP,M_TOTPOP,E_HU,M_HU,E_HH,M_HH,E_POV150,M_POV150,E_UNEMP,M_UNEMP,E_HBURD,M_HBURD,E_NOHSDP,M_NOHSDP,E_UNINSUR,M_UNINSUR,E_AGE65,M_AGE65,E_AGE17,M_AGE17,E_DISABL,M_DISABL,E_SNGPNT,M_SNGPNT,E_LIMENG,M_LIMENG,E_MINRTY,M_MINRTY,E_MUNIT,M_MUNIT,E_MOBILE,M_MOBILE,E_CROWD,M_CROWD,E_NOVEH,M_NOVEH,E_GROUPQ,M_GROUPQ,EP_POV150,MP_POV150,EP_UNEMP,MP_UNEMP,EP_HBURD,MP_HBURD,EP_NOHSDP,MP_NOHSDP,EP_UNINSUR,MP_UNINSUR,EP_AGE65,MP_AGE65,EP_AGE17,MP_AGE17,EP_DISABL,MP_DISABL,EP_SNGPNT,MP_SNGPNT,EP_LIMENG,MP_LIMENG,EP_MINRTY,MP_MINRTY,EP_MUNIT,MP_MUNIT,EP_MOBILE,MP_MOBILE,EP_CROWD,MP_CROWD,EP_NOVEH,MP_NOVEH,EP_GROUPQ,MP_GROUPQ,EPL_POV150,EPL_UNEMP,EPL_HBURD,EPL_NOHSDP,EPL_UNINSUR,SPL_THEME1,RPL_THEME1,EPL_AGE65,EPL_AGE17,EPL_DISABL,EPL_SNGPNT,EPL_LIMENG,SPL_THEME2,RPL_THEME2,EPL_MINRTY,SPL_THEME3,RPL_THEME3,EPL_MUNIT,EPL_MOBILE,EPL_CROWD,EPL_NOVEH,EPL_GROUPQ,SPL_THEME4,RPL_THEME4,SPL_THEMES,RPL_THEMES,F_POV150,F_UNEMP,F_HBURD,F_NOHSDP,F_UNINSUR,F_THEME1,F_AGE65,F_AGE17,F_DISABL,F_SNGPNT,F_LIMENG,F_THEME2,F_MINRTY,F_THEME3,F_MUNIT,F_MOBILE,F_CROWD,F_NOVEH,F_GROUPQ,F_THEME4,F_TOTAL,E_DAYPOP,E_NOINT,M_NOINT,E_AFAM,M_AFAM,E_HISP,M_HISP,E_ASIAN,M_ASIAN,E_AIAN,M_AIAN,E_NHPI,M_NHPI,E_TWOMORE,M_TWOMORE,E_OTHERRACE,M_OTHERRACE,EP_NOINT,MP_NOINT,EP_AFAM,MP_AFAM,EP_HISP,MP_HISP,EP_ASIAN,MP_ASIAN,EP_AIAN,MP_AIAN,EP_NHPI,MP_NHPI,EP_TWOMORE,MP_TWOMORE,EP_OTHERRACE,MP_OTHERRACE
37,North Carolina,NC,37001,Alamance,37001,"Alamance County, North Carolina",423.45187619905,166144,0,71718,203,65455,668,42094,2187,4304,643,17156,1102,13972,886,17902,1020,27867,92,36877,16,22379,1443,4717,603,4638,543,61327,981,5248,619,8422,750,1180,195,3108,403,4675,483,26.1,1.4,5.2,0.8,26.2,1.7,12.5,0.8,10.9,0.6,16.8,0.1,22.2,0.0,13.6,0.9,7.2,0.9,3.0,0.3,36.9,0.6,7.3,0.9,11.7,1.0,1.8,0.3,4.7,0.6,2.8,0.3,0.4848,0.3636,0.5657,0.4141,0.4343,2.2625,0.4646,0.2222,0.6869,0.1414,0.6667,0.9192,2.6364,0.6263,0.5859,0.5859,0.5859,0.8687,0.1313,0.3232,0.3131,0.6566,2.2929,0.3939,7.7777,0.5152,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,163932,22573,1776,32650,613,21153,0,2613,216,425,105,54,25,3802,650,630,630,14.0,0.0,19.7,0.4,12.7,0.0,1.6,0.1,0.3,0.1,0.0,0.1,2.3,0.4,0.4,0.2
37,North Carolina,NC,37003,Alexander,37003,"Alexander County, North Carolina",259.984941558768,37271,0,16538,84,14049,392,8227,1194,1032,404,2591,369,4466,533,3240,508,7541,115,7518,89,6354,798,854,234,436,245,4954,377,103,60,4750,512,369,167,488,155,1332,199,23.0,3.3,5.8,2.2,18.4,2.6,16.6,2.0,9.0,1.4,20.2,0.3,20.2,0.2,17.7,2.2,6.1,1.7,1.2,0.7,13.3,1.0,0.6,0.4,28.7,3.1,2.6,1.2,3.5,1.1,3.6,0.5,0.2525,0.5253,0.0202,0.697,0.0909,1.5859,0.1818,0.5657,0.3939,0.596,0.4343,0.4343,2.4242,0.4848,0.1717,0.1717,0.1717,0.0707,0.8889,0.7273,0.0909,0.7273,2.5051,0.5455,6.6869,0.3232,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28661,5569,889,1924,257,1779,0,394,45,137,53,0,28,720,264,0,0,15.5,0.1,5.2,0.7,4.8,0.0,1.1,0.1,0.4,0.1,0.0,0.1,1.9,0.7,0.0,0.1
37,North Carolina,NC,37005,Alleghany,37005,"Alleghany County, North Carolina",234.83506654856,11085,0,8199,53,5001,324,3955,578,162,79,1163,205,1810,329,1166,248,3047,101,1906,0,2134,280,228,90,144,142,1470,222,49,31,1446,250,97,80,301,128,146,102,36.0,5.3,3.4,1.7,23.3,3.8,21.3,3.9,10.6,2.3,27.5,0.9,17.2,0.0,19.4,2.5,4.6,1.8,1.4,1.3,13.3,2.0,0.6,0.4,17.6,3.0,1.9,1.6,6.0,2.5,1.3,0.9,0.9394,0.0303,0.3737,0.9495,0.404,2.6969,0.596,0.9192,0.1111,0.7677,0.1414,0.5556,2.495,0.5556,0.1717,0.1717,0.1717,0.0707,0.4141,0.3535,0.5657,0.2828,1.6868,0.101,7.0504,0.3838,1,0,0,1,0,2,1,0,0,0,0,1,0,0,0,0,0,0,0,0,3,9870,2100,430,177,147,1080,0,44,55,54,76,1,3,114,136,0,0,19.2,0.2,1.6,1.3,9.7,0.0,0.4,0.5,0.5,0.7,0.0,0.1,1.0,1.2,0.0,0.4
37,North Carolina,NC,37007,Anson,37007,"Anson County, North Carolina",531.460963968586,24430,0,11656,178,9803,301,7414,906,832,225,3037,457,3342,406,2341,458,4552,43,4876,39,4210,461,964,202,196,149,13525,234,249,131,2647,349,224,103,689,191,1722,391,32.6,4.0,7.4,2.0,31.0,4.6,18.9,2.3,10.3,2.0,18.6,0.2,20.0,0.2,18.5,2.0,9.8,2.0,0.8,0.6,55.4,1.0,2.1,1.1,22.7,3.0,2.3,1.0,7.0,1.9,7.0,1.6,0.7879,0.7677,0.8788,0.8687,0.2929,3.596,0.8485,0.4242,0.3232,0.6667,0.9192,0.1919,2.5252,0.5758,0.8687,0.8687,0.8687,0.4848,0.6465,0.5556,0.7374,0.899,3.3233,0.9091,10.3132,0.8384,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,20824,3574,958,11775,162,1002,0,315,41,56,46,8,14,352,156,17,17,15.7,0.3,48.2,0.7,4.1,0.0,1.3,0.2,0.2,0.2,0.0,0.1,1.4,0.6,0.1,0.1
37,North Carolina,NC,37009,Ashe,37009,"Ashe County, North Carolina",426.263886794904,27009,48,17835,69,11885,450,6463,728,573,225,2238,344,2813,361,3029,535,6849,62,4763,63,4356,467,500,189,260,138,2050,107,350,122,3432,425,136,68,548,108,446,102,24.2,2.7,4.4,1.7,18.8,2.8,13.7,1.7,11.3,2.0,25.4,0.2,17.6,0.2,16.3,1.7,4.2,1.6,1.0,0.5,7.6,0.4,2.0,0.7,19.2,2.4,1.1,0.6,4.6,0.9,1.7,0.4,0.3636,0.1515,0.0505,0.5051,0.5354,1.6061,0.202,0.8687,0.1414,0.4444,0.0909,0.3737,1.9191,0.1313,0.0202,0.0202,0.0202,0.4444,0.4848,0.1111,0.2727,0.4444,1.7574,0.1515,5.3028,0.101,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21424,5129,793,199,42,1349,7,152,27,77,57,15,20,246,69,12,12,19.3,0.1,0.7,0.2,5.0,0.1,0.6,0.1,0.3,0.2,0.1,0.1,0.9,0.3,0.0,0.1
37,North Carolina,NC,37011,Avery,37011,"Avery County, North Carolina",247.337766299974,17510,0,14289,281,6569,479,3554,499,397,147,1535,257,1911,346,2195,387,3869,45,2522,65,2759,348,319,126,140,108,1995,197,1116,128,1941,320,99,64,313,118,3523,577,25.3,3.4,5.7,2.2,23.4,3.5,14.3,2.6,14.7,2.5,22.1,0.3,14.4,0.4,18.5,2.3,4.9,1.9,0.8,0.6,11.4,1.1,7.8,0.9,13.6,2.2,1.5,1.0,4.8,1.7,20.1,3.3,0.4242,0.4949,0.3838,0.5556,0.9192,2.7777,0.6364,0.7172,0.0202,0.6667,0.2222,0.1919,1.8182,0.1111,0.1111,0.1111,0.1111,0.8788,0.2121,0.2222,0.3535,1.0,2.6666,0.6465,7.3736,0.4444,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,2,17640,2861,831,742,136,877,0,76,39,197,112,4,15,97,78,2,2,20.5,0.8,4.2,0.8,5.0,0.0,0.4,0.2,1.1,0.6,0.0,0.1,0.6,0.4,0.0,0.1
37,North Carolina,NC,37013,Beaufort,37013,"Beaufort County, North Carolina",832.735690859248,47160,0,26249,90,20219,496,13463,1085,1450,331,5994,599,4004,431,5558,618,11194,35,9469,14,8213,608,1397,324,574,281,16172,340,655,202,6980,580,330,192,1282,259,478,170,29.0,2.3,6.9,1.6,29.6,2.9,11.7,1.3,11.9,1.3,23.7,0.1,20.1,0.0,17.6,1.3,6.9,1.6,1.3,0.6,34.3,0.7,2.5,0.8,26.6,2.2,1.6,0.9,6.3,1.3,1.0,0.4,0.6364,0.7273,0.8081,0.3535,0.6465,3.1718,0.7273,0.7879,0.3636,0.5758,0.6061,0.4545,2.7879,0.7374,0.5354,0.5354,0.5354,0.5556,0.8586,0.2626,0.596,0.1818,2.4546,0.4949,8.9497,0.6667,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,45391,9893,1036,11549,225,3767,0,49,48,62,77,0,28,691,228,54,54,21.2,0.1,24.5,0.5,8.0,0.0,0.1,0.1,0.1,0.2,0.0,0.1,1.5,0.5,0.1,0.1
37,North Carolina,NC,37015,Bertie,37015,"Bertie County, North Carolina",699.176122543976,19081,0,9835,283,8008,455,6711,938,772,278,2528,459,3028,320,2193,388,4348,34,3249,54,4469,528,438,165,18,81,12547,276,38,42,3497,425,248,149,905,262,1424,615,37.9,5.1,10.0,3.5,31.6,5.4,21.2,2.2,12.4,2.0,22.8,0.2,17.0,0.3,25.2,2.8,5.5,2.0,0.1,0.4,65.8,1.4,0.4,0.4,35.6,4.3,3.1,1.9,11.3,3.0,7.5,3.2,0.9697,0.9899,0.9293,0.9394,0.7273,4.5556,1.0,0.7475,0.101,1.0,0.3535,0.0,2.202,0.2727,0.9798,0.9798,0.9798,0.0606,0.9697,0.8687,0.9798,0.9091,3.7879,0.9798,11.5253,0.9596,1,1,1,1,0,4,0,0,1,0,0,1,1,1,0,1,0,1,1,3,9,16917,5692,1155,11650,215,405,0,136,10,62,72,1,3,282,157,11,11,32.2,1.1,61.1,1.1,2.1,0.0,0.7,0.1,0.3,0.4,0.0,0.1,1.5,0.8,0.1,0.1
37,North Carolina,NC,37017,Bladen,37017,"Bladen County, North Carolina",875.031279623182,33209,0,18008,114,13394,451,12155,1120,655,210,3972,519,4022,486,3770,453,7298,89,6849,0,5929,511,1007,251,478,347,15014,162,151,60,6245,479,128,72,1097,244,465,267,37.1,3.4,5.0,1.6,29.7,3.7,16.8,2.0,11.5,1.4,22.0,0.3,20.6,0.0,18.0,1.6,7.5,1.9,1.5,1.1,45.2,0.5,0.8,0.3,34.7,2.5,1.0,0.5,8.2,1.8,1.4,0.8,0.9596,0.3232,0.8384,0.7172,0.5859,3.4243,0.8081,0.7071,0.4747,0.6263,0.7071,0.596,3.1112,0.8889,0.7273,0.7273,0.7273,0.1515,0.9596,0.0909,0.8283,0.3434,2.3737,0.4444,9.6365,0.7677,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,2,32925,6055,923,11423,97,2514,0,53,45,834,54,0,28,190,102,0,0,18.5,0.2,34.4,0.3,7.6,0.0,0.2,0.1,2.5,0.2,0.0,0.1,0.6,0.3,0.0,0.1
37,North Carolina,NC,37019,Brunswick,37019,"Brunswick County, North Carolina",850.082271089658,137303,0,92178,124,59416,977,24833,1958,3413,722,15047,964,8722,771,13222,1128,43237,130,20949,0,22167,1310,2595,411,891,276,25515,1130,3997,524,20233,976,866,261,1821,369,916,217,18.2,1.4,6.0,1.3,25.3,1.6,8.0,0.7,9.7,0.8,31.5,0.1,15.3,0.0,16.3,1.0,4.4,0.7,0.7,0.2,18.6,0.8,4.3,0.6,21.9,1.1,1.5,0.4,3.1,0.6,0.7,0.2,0.0707,0.5758,0.5152,0.0707,0.1919,1.4243,0.1414,1.0,0.0404,0.4444,0.1111,0.1414,1.7373,0.0808,0.2929,0.2929,0.2929,0.7677,0.5859,0.2222,0.0505,0.0606,1.6869,0.1313,5.1414,0.0505,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,132483,14496,1581,12836,527,6690,0,725,186,784,155,3,5,4086,895,391,391,10.6,0.0,9.3,0.4,4.9,0.0,0.5,0.1,0.6,0.1,0.0,0.1,3.0,0.7,0.3,0.3
37,North Carolina,NC,37021,Buncombe,37021,"Buncombe County, North Carolina",656.496558043756,259576,0,125872,240,105177,1242,56428,2687,4187,596,29835,1562,15936,1275,28505,2226,51876,89,48038,129,34125,1824,4464,532,5729,904,43316,1081,11820,1004,17076,1037,2286,414,5920,664,6876,531,22.3,1.1,3.2,0.4,28.4,1.4,8.3,0.7,11.1,0.9,20.0,0.1,18.5,0.0,13.3,0.7,4.2,0.5,2.3,0.4,16.7,0.4,9.4,0.8,13.6,0.8,2.2,0.4,5.6,0.6,2.6,0.2,0.2222,0.0101,0.697,0.0808,0.4545,1.4646,0.1515,0.5253,0.2121,0.1313,0.0909,0.7778,1.7374,0.0909,0.2626,0.2626,0.2626,0.8889,0.2121,0.5051,0.5152,0.6263,2.7476,0.6667,6.2122,0.2727,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,272765,36045,2431,15902,569,17396,0,3227,346,803,230,337,66,5343,799,308,308,14.3,0.0,6.1,0.2,6.7,0.0,1.2,0.1,0.3,0.1,0.1,0.1,2.1,0.3,0.1,0.1
